time	species	protein	transcript	ribo_density
0.000000	__proteinA_rbs	1.000000	0.000000	0.000000
0.000000	__proteinB_rbs	1.000000	0.000000	0.000000
0.000000	__ribosome	5.000000	0.000000	0.000000
7.856948	__proteinA_rbs	0.000000	0.000000	0.000000
7.856948	__proteinB_rbs	1.000000	0.000000	0.000000
7.856948	__ribosome	4.000000	0.000000	0.000000
8.008601	__proteinA_rbs	0.000000	0.000000	0.000000
8.008601	__proteinB_rbs	1.000000	0.000000	0.000000
8.008601	__ribosome	4.000000	0.000000	0.000000
8.038374	__proteinA_rbs	0.000000	0.000000	0.000000
8.038374	__proteinB_rbs	1.000000	0.000000	0.000000
8.038374	__ribosome	4.000000	0.000000	0.000000
8.048043	__proteinA_rbs	0.000000	0.000000	0.000000
8.048043	__proteinB_rbs	1.000000	0.000000	0.000000
8.048043	__ribosome	4.000000	0.000000	0.000000
8.079546	__proteinA_rbs	0.000000	0.000000	0.000000
8.079546	__proteinB_rbs	1.000000	0.000000	0.000000
8.079546	__ribosome	4.000000	0.000000	0.000000
8.095189	__proteinA_rbs	0.000000	0.000000	0.000000
8.095189	__proteinB_rbs	1.000000	0.000000	0.000000
8.095189	__ribosome	4.000000	0.000000	0.000000
8.154650	__proteinA_rbs	0.000000	0.000000	0.000000
8.154650	__proteinB_rbs	1.000000	0.000000	0.000000
8.154650	__ribosome	4.000000	0.000000	0.000000
8.227423	__proteinA_rbs	0.000000	0.000000	0.000000
8.227423	__proteinB_rbs	1.000000	0.000000	0.000000
8.227423	__ribosome	4.000000	0.000000	0.000000
9.020849	__proteinA_rbs	1.000000	0.000000	0.000000
9.020849	__proteinB_rbs	1.000000	0.000000	0.000000
9.020849	__ribosome	4.000000	0.000000	0.000000
9.020849	proteinA	0.000000	1.000000	1.000000
10.055590	__proteinA_rbs	1.000000	0.000000	0.000000
10.055590	__proteinB_rbs	1.000000	0.000000	0.000000
10.055590	__ribosome	4.000000	0.000000	0.000000
10.055590	proteinA	0.000000	1.000000	1.000000
11.034479	__proteinA_rbs	1.000000	0.000000	0.000000
11.034479	__proteinB_rbs	1.000000	0.000000	0.000000
11.034479	__ribosome	4.000000	0.000000	0.000000
11.034479	proteinA	0.000000	1.000000	1.000000
12.038482	__proteinA_rbs	1.000000	0.000000	0.000000
12.038482	__proteinB_rbs	0.000000	0.000000	0.000000
12.038482	__ribosome	3.000000	0.000000	0.000000
12.038482	proteinA	0.000000	1.000000	1.000000
13.011332	__proteinA_rbs	1.000000	0.000000	0.000000
13.011332	__proteinB_rbs	1.000000	0.000000	0.000000
13.011332	__ribosome	3.000000	0.000000	0.000000
13.011332	proteinA	0.000000	1.000000	1.000000
13.011332	proteinB	0.000000	1.000000	1.000000
14.012565	__proteinA_rbs	1.000000	0.000000	0.000000
14.012565	__proteinB_rbs	1.000000	0.000000	0.000000
14.012565	__ribosome	3.000000	0.000000	0.000000
14.012565	proteinA	0.000000	1.000000	1.000000
14.012565	proteinB	0.000000	1.000000	1.000000
15.001966	__proteinA_rbs	1.000000	0.000000	0.000000
15.001966	__proteinB_rbs	1.000000	0.000000	0.000000
15.001966	__ribosome	3.000000	0.000000	0.000000
15.001966	proteinA	0.000000	1.000000	1.000000
15.001966	proteinB	0.000000	1.000000	1.000000
16.015142	__proteinA_rbs	1.000000	0.000000	0.000000
16.015142	__proteinB_rbs	1.000000	0.000000	0.000000
16.015142	__ribosome	3.000000	0.000000	0.000000
16.015142	proteinA	0.000000	1.000000	1.000000
16.015142	proteinB	0.000000	1.000000	1.000000
17.014344	__proteinA_rbs	1.000000	0.000000	0.000000
17.014344	__proteinB_rbs	1.000000	0.000000	0.000000
17.014344	__ribosome	3.000000	0.000000	0.000000
17.014344	proteinA	0.000000	1.000000	1.000000
17.014344	proteinB	0.000000	1.000000	1.000000
17.999562	__proteinA_rbs	1.000000	0.000000	0.000000
17.999562	__proteinB_rbs	1.000000	0.000000	0.000000
17.999562	__ribosome	3.000000	0.000000	0.000000
17.999562	proteinA	0.000000	1.000000	1.000000
17.999562	proteinB	0.000000	1.000000	1.000000
19.042369	__proteinA_rbs	1.000000	0.000000	0.000000
19.042369	__proteinB_rbs	1.000000	0.000000	0.000000
19.042369	__ribosome	3.000000	0.000000	0.000000
19.042369	proteinA	0.000000	1.000000	1.000000
19.042369	proteinB	0.000000	1.000000	1.000000
20.045079	__proteinA_rbs	1.000000	0.000000	0.000000
20.045079	__proteinB_rbs	1.000000	0.000000	0.000000
20.045079	__ribosome	3.000000	0.000000	0.000000
20.045079	proteinA	0.000000	1.000000	1.000000
20.045079	proteinB	0.000000	1.000000	1.000000
21.055588	__proteinA_rbs	1.000000	0.000000	0.000000
21.055588	__proteinB_rbs	1.000000	0.000000	0.000000
21.055588	__ribosome	3.000000	0.000000	0.000000
21.055588	proteinA	0.000000	1.000000	1.000000
21.055588	proteinB	0.000000	1.000000	1.000000
22.012297	__proteinA_rbs	1.000000	0.000000	0.000000
22.012297	__proteinB_rbs	1.000000	0.000000	0.000000
22.012297	__ribosome	3.000000	0.000000	0.000000
22.012297	proteinA	0.000000	1.000000	1.000000
22.012297	proteinB	0.000000	1.000000	1.000000
23.006632	__proteinA_rbs	1.000000	0.000000	0.000000
23.006632	__proteinB_rbs	1.000000	0.000000	0.000000
23.006632	__ribosome	3.000000	0.000000	0.000000
23.006632	proteinA	0.000000	1.000000	1.000000
23.006632	proteinB	0.000000	1.000000	1.000000
24.092767	__proteinA_rbs	1.000000	0.000000	0.000000
24.092767	__proteinB_rbs	1.000000	0.000000	0.000000
24.092767	__ribosome	4.000000	0.000000	0.000000
24.092767	proteinA	1.000000	1.000000	0.000000
24.092767	proteinB	0.000000	1.000000	1.000000
25.011450	__proteinA_rbs	1.000000	0.000000	0.000000
25.011450	__proteinB_rbs	1.000000	0.000000	0.000000
25.011450	__ribosome	4.000000	0.000000	0.000000
25.011450	proteinA	1.000000	1.000000	0.000000
25.011450	proteinB	0.000000	1.000000	1.000000
26.099460	__proteinA_rbs	1.000000	0.000000	0.000000
26.099460	__proteinB_rbs	1.000000	0.000000	0.000000
26.099460	__ribosome	4.000000	0.000000	0.000000
26.099460	proteinA	1.000000	1.000000	0.000000
26.099460	proteinB	0.000000	1.000000	1.000000
27.057723	__proteinA_rbs	1.000000	0.000000	0.000000
27.057723	__proteinB_rbs	1.000000	0.000000	0.000000
27.057723	__ribosome	4.000000	0.000000	0.000000
27.057723	proteinA	1.000000	1.000000	0.000000
27.057723	proteinB	0.000000	1.000000	1.000000
28.008087	__proteinA_rbs	1.000000	0.000000	0.000000
28.008087	__proteinB_rbs	1.000000	0.000000	0.000000
28.008087	__ribosome	4.000000	0.000000	0.000000
28.008087	proteinA	1.000000	1.000000	0.000000
28.008087	proteinB	0.000000	1.000000	1.000000
33.823396	__proteinA_rbs	1.000000	0.000000	0.000000
33.823396	__proteinB_rbs	0.000000	0.000000	0.000000
33.823396	__ribosome	4.000000	0.000000	0.000000
33.823396	proteinA	1.000000	1.000000	0.000000
33.823396	proteinB	1.000000	1.000000	1.000000
33.826126	__proteinA_rbs	1.000000	0.000000	0.000000
33.826126	__proteinB_rbs	0.000000	0.000000	0.000000
33.826126	__ribosome	4.000000	0.000000	0.000000
33.826126	proteinA	1.000000	1.000000	0.000000
33.826126	proteinB	1.000000	1.000000	1.000000
33.926749	__proteinA_rbs	1.000000	0.000000	0.000000
33.926749	__proteinB_rbs	0.000000	0.000000	0.000000
33.926749	__ribosome	4.000000	0.000000	0.000000
33.926749	proteinA	1.000000	1.000000	0.000000
33.926749	proteinB	1.000000	1.000000	1.000000
33.997554	__proteinA_rbs	1.000000	0.000000	0.000000
33.997554	__proteinB_rbs	0.000000	0.000000	0.000000
33.997554	__ribosome	4.000000	0.000000	0.000000
33.997554	proteinA	1.000000	1.000000	0.000000
33.997554	proteinB	1.000000	1.000000	1.000000
34.053356	__proteinA_rbs	1.000000	0.000000	0.000000
34.053356	__proteinB_rbs	0.000000	0.000000	0.000000
34.053356	__ribosome	4.000000	0.000000	0.000000
34.053356	proteinA	1.000000	1.000000	0.000000
34.053356	proteinB	1.000000	1.000000	1.000000
34.059157	__proteinA_rbs	1.000000	0.000000	0.000000
34.059157	__proteinB_rbs	0.000000	0.000000	0.000000
34.059157	__ribosome	4.000000	0.000000	0.000000
34.059157	proteinA	1.000000	1.000000	0.000000
34.059157	proteinB	1.000000	1.000000	1.000000
35.022607	__proteinA_rbs	1.000000	0.000000	0.000000
35.022607	__proteinB_rbs	0.000000	0.000000	0.000000
35.022607	__ribosome	4.000000	0.000000	0.000000
35.022607	proteinA	1.000000	1.000000	0.000000
35.022607	proteinB	1.000000	1.000000	1.000000
36.001390	__proteinA_rbs	1.000000	0.000000	0.000000
36.001390	__proteinB_rbs	1.000000	0.000000	0.000000
36.001390	__ribosome	3.000000	0.000000	0.000000
36.001390	proteinA	1.000000	1.000000	0.000000
36.001390	proteinB	1.000000	1.000000	2.000000
37.013255	__proteinA_rbs	1.000000	0.000000	0.000000
37.013255	__proteinB_rbs	1.000000	0.000000	0.000000
37.013255	__ribosome	3.000000	0.000000	0.000000
37.013255	proteinA	1.000000	1.000000	0.000000
37.013255	proteinB	1.000000	1.000000	2.000000
38.013514	__proteinA_rbs	1.000000	0.000000	0.000000
38.013514	__proteinB_rbs	1.000000	0.000000	0.000000
38.013514	__ribosome	3.000000	0.000000	0.000000
38.013514	proteinA	1.000000	1.000000	0.000000
38.013514	proteinB	1.000000	1.000000	2.000000
39.001166	__proteinA_rbs	1.000000	0.000000	0.000000
39.001166	__proteinB_rbs	1.000000	0.000000	0.000000
39.001166	__ribosome	3.000000	0.000000	0.000000
39.001166	proteinA	1.000000	1.000000	0.000000
39.001166	proteinB	1.000000	1.000000	2.000000
