Generation,Pct_Slow,Pct_Fast,Rate,Mutation_loc,Mutation,Transcript 
0_popB,50.0,50.0,76,1,2.132,90,90,100,90,90,100,100,90,90,100,100,100,100,90,100,90,100,100,90,100,90,90,90,100,90,90,90,90,100,100,100,100,90,100,100,90,90,100,90,90,100,100,90,100,100,90,90,90,90,90,90,90,90,100,90,90,100,90,100,90,100,100,90,100,100,100,90,90,100,100,100,90,90,90,90,100,100,100,100,100,90,100,90,100,90,100,90,90,90,90,100,100,90,100,100,90,100,100,100,100,90,90,100,90,100,90,100,100,100,90,90,100,90,100,100,90,100,100,90,90
1_popB,50.0,50.0,20,0,2.132,90,90,100,90,90,100,100,90,90,100,100,100,100,90,100,90,100,100,90,100,90,90,90,100,90,90,90,90,100,100,100,100,90,100,100,90,90,100,90,90,100,100,90,100,100,90,90,90,90,90,90,90,90,100,90,90,100,90,100,90,100,100,90,100,100,100,90,90,100,100,100,90,90,90,90,100,100,100,100,100,90,100,90,100,90,100,90,90,90,90,100,100,90,100,100,90,100,100,100,100,90,90,100,90,100,90,100,100,100,90,90,100,90,100,100,90,100,100,90,90
2_popB,50.0,50.0,2,1,2.132,90,90,100,90,90,100,100,90,90,100,100,100,100,90,100,90,100,100,90,100,90,90,90,100,90,90,90,90,100,100,100,100,90,100,100,90,90,100,90,90,100,100,90,100,100,90,90,90,90,90,90,90,90,100,90,90,100,90,100,90,100,100,90,100,100,100,90,90,100,100,100,90,90,90,90,100,100,100,100,100,90,100,90,100,90,100,90,90,90,90,100,100,90,100,100,90,100,100,100,100,90,90,100,90,100,90,100,100,100,90,90,100,90,100,100,90,100,100,90,90
3_popB,49.166666666666664,50.83333333333333,109,1,2.133,90,90,100,90,90,100,100,90,90,100,100,100,100,90,100,90,100,100,90,100,90,90,90,100,90,90,90,90,100,100,100,100,90,100,100,90,90,100,90,90,100,100,90,100,100,90,90,90,90,90,90,90,90,100,90,90,100,90,100,90,100,100,90,100,100,100,90,90,100,100,100,90,90,90,90,100,100,100,100,100,90,100,90,100,90,100,90,90,90,90,100,100,90,100,100,90,100,100,100,100,90,90,100,90,100,90,100,100,100,100,90,100,90,100,100,90,100,100,90,90
4_popB,49.166666666666664,50.83333333333333,73,0,2.133,90,90,100,90,90,100,100,90,90,100,100,100,100,90,100,90,100,100,90,100,90,90,90,100,90,90,90,90,100,100,100,100,90,100,100,90,90,100,90,90,100,100,90,100,100,90,90,90,90,90,90,90,90,100,90,90,100,90,100,90,100,100,90,100,100,100,90,90,100,100,100,90,90,90,90,100,100,100,100,100,90,100,90,100,90,100,90,90,90,90,100,100,90,100,100,90,100,100,100,100,90,90,100,90,100,90,100,100,100,100,90,100,90,100,100,90,100,100,90,90
5_popB,48.333333333333336,51.66666666666667,59,1,2.133,90,90,100,90,90,100,100,90,90,100,100,100,100,90,100,90,100,100,90,100,90,90,90,100,90,90,90,90,100,100,100,100,90,100,100,90,90,100,90,90,100,100,90,100,100,90,90,90,90,90,90,90,90,100,90,90,100,90,100,100,100,100,90,100,100,100,90,90,100,100,100,90,90,90,90,100,100,100,100,100,90,100,90,100,90,100,90,90,90,90,100,100,90,100,100,90,100,100,100,100,90,90,100,90,100,90,100,100,100,100,90,100,90,100,100,90,100,100,90,90
6_popB,47.5,52.5,15,1,2.134,90,90,100,90,90,100,100,90,90,100,100,100,100,90,100,100,100,100,90,100,90,90,90,100,90,90,90,90,100,100,100,100,90,100,100,90,90,100,90,90,100,100,90,100,100,90,90,90,90,90,90,90,90,100,90,90,100,90,100,100,100,100,90,100,100,100,90,90,100,100,100,90,90,90,90,100,100,100,100,100,90,100,90,100,90,100,90,90,90,90,100,100,90,100,100,90,100,100,100,100,90,90,100,90,100,90,100,100,100,100,90,100,90,100,100,90,100,100,90,90
7_popA,47.5,52.5,0,0,2.134,90,90,100,90,90,100,100,90,90,100,100,100,100,90,100,100,100,100,90,100,90,90,90,100,90,90,90,90,100,100,100,100,90,100,100,90,90,100,90,90,100,100,90,100,100,90,90,90,90,90,90,90,90,100,90,90,100,90,100,100,100,100,90,100,100,100,90,90,100,100,100,90,90,90,90,100,100,100,100,100,90,100,90,100,90,100,90,90,90,90,100,100,90,100,100,90,100,100,100,100,90,90,100,90,100,90,100,100,100,100,90,100,90,100,100,90,100,100,90,90
8_popA,47.5,52.5,0,0,2.134,90,90,100,90,90,100,100,90,90,100,100,100,100,90,100,100,100,100,90,100,90,90,90,100,90,90,90,90,100,100,100,100,90,100,100,90,90,100,90,90,100,100,90,100,100,90,90,90,90,90,90,90,90,100,90,90,100,90,100,100,100,100,90,100,100,100,90,90,100,100,100,90,90,90,90,100,100,100,100,100,90,100,90,100,90,100,90,90,90,90,100,100,90,100,100,90,100,100,100,100,90,90,100,90,100,90,100,100,100,100,90,100,90,100,100,90,100,100,90,90
9_popA,47.5,52.5,0,0,2.134,90,90,100,90,90,100,100,90,90,100,100,100,100,90,100,100,100,100,90,100,90,90,90,100,90,90,90,90,100,100,100,100,90,100,100,90,90,100,90,90,100,100,90,100,100,90,90,90,90,90,90,90,90,100,90,90,100,90,100,100,100,100,90,100,100,100,90,90,100,100,100,90,90,90,90,100,100,100,100,100,90,100,90,100,90,100,90,90,90,90,100,100,90,100,100,90,100,100,100,100,90,90,100,90,100,90,100,100,100,100,90,100,90,100,100,90,100,100,90,90
