Min,Max,Rate
1,100,0
10,100,0.003
100,100,0.003
11,100,0.003
12,100,0.003
13,100,0.005
14,100,0.003
15,100,0.005
16,100,0.005
17,100,0.005
18,100,0.008
19,100,0.003
2,100,0.006
20,100,0.003
21,100,0.003
22,100,0.005
23,100,0.003
24,100,0.003
25,100,0.003
26,100,0.003
27,100,0.003
28,100,0.003
29,100,0.003
3,100,0.005
30,100,0.003
31,100,0.003
32,100,0.003
33,100,0.003
34,100,0.003
35,100,0.003
36,100,0.003
37,100,0.003
38,100,0.003
39,100,0.003
4,100,0.005
40,100,0.003
41,100,0.003
42,100,0.003
43,100,0.003
44,100,0.003
45,100,0.003
46,100,0.003
47,100,0.003
48,100,0.003
49,100,0.003
5,100,0.005
50,100,0.003
51,100,0.003
52,100,0.003
53,100,0.003
54,100,0.003
55,100,0.003
56,100,0.003
57,100,0.003
58,100,0.003
59,100,0.003
6,100,0.005
60,100,0.003
61,100,0.003
62,100,0.003
63,100,0.003
64,100,0.003
65,100,0.003
66,100,0.003
67,100,0.003
68,100,0.003
69,100,0.003
7,100,0.005
70,100,0.003
71,100,0.003
72,100,0.003
73,100,0.003
74,100,0.003
75,100,0.003
76,100,0.003
77,100,0.003
78,100,0.003
79,100,0.003
8,100,0.003
80,100,0.003
81,100,0.003
82,100,0.003
83,100,0.003
84,100,0.003
85,100,0.003
86,100,0.003
87,100,0.003
88,100,0.003
89,100,0.003
9,100,0.003
90,100,0.003
91,100,0.003
92,100,0.003
93,100,0.003
94,100,0.003
95,100,0.003
96,100,0.003
97,100,0.003
98,100,0.003
99,100,0.003
