Generation,RBS,ORF,Terminator 
0,9,32,27
1,9,32,27
2,9,32,28
3,9,32,28
4,9,32,28
5,9,32,29
6,9,32,29
7,9,32,29
8,9,32,29
9,8,32,29
10,8,32,29
11,8,32,29
12,8,31,29
13,8,31,29
14,8,31,29
15,8,31,29
16,8,31,29
17,8,31,29
18,8,31,29
19,8,31,29
20,8,31,29
21,8,30,29
22,8,31,29
23,8,32,29
24,8,33,29
25,8,33,29
26,8,33,29
27,8,33,29
28,8,33,29
29,8,33,29
30,8,33,29
31,8,33,29
32,8,33,29
33,8,33,29
34,8,33,29
35,8,33,29
36,8,33,29
37,8,33,29
38,8,33,29
39,8,33,29
40,8,33,28
41,8,33,28
42,8,33,28
43,8,33,28
44,8,32,28
45,8,32,27
46,8,32,27
47,8,32,27
48,8,32,28
49,8,32,28
50,8,32,28
