Generation,Population,Slow_Count,Fast_Count,Mut_Loc,Prod_rt,Min 
0,popB,48,72,10,50.0,2.136,25.0
1,popB,49,71,109,25.0,2.169,25.0
2,popB,50,70,31,25.0,2.098,25.0
3,popB,50,70,100,25.0,2.098,25.0
4,popB,50,70,3,50.0,2.098,25.0
5,popB,50,70,69,50.0,2.098,25.0
6,popB,51,69,35,25.0,2.276,25.0
7,popA,51,69,0,0,2.276,25.0
8,popB,51,69,119,50.0,2.276,25.0
9,popB,52,68,64,25.0,2.136,25.0
10,popB,52,68,85,50.0,2.136,25.0
11,popB,52,68,51,50.0,2.136,25.0
12,popB,52,68,26,50.0,2.136,25.0
13,popB,51,69,103,50.0,2.145,25.0
14,popB,51,69,6,25.0,2.145,25.0
15,popB,52,68,117,25.0,2.151,25.0
16,popB,52,68,6,25.0,2.151,25.0
17,popB,51,69,8,50.0,2.071,25.0
18,popA,51,69,0,0,2.071,25.0
19,popB,50,70,98,50.0,1.902,25.0
20,popB,50,70,48,25.0,1.902,25.0
21,popB,51,69,92,25.0,1.913,25.0
22,popB,52,68,91,25.0,1.949,25.0
23,popB,52,68,50,25.0,1.949,25.0
24,popB,52,68,21,50.0,1.949,25.0
25,popB,53,67,105,25.0,2.161,25.0
26,popB,53,67,102,50.0,2.161,25.0
27,popB,53,67,46,25.0,2.161,25.0
28,popB,53,67,34,50.0,2.161,25.0
29,popB,53,67,32,25.0,2.161,25.0
30,popB,52,68,80,50.0,2.224,25.0
31,popB,52,68,37,25.0,2.224,25.0
32,popB,52,68,93,25.0,2.224,25.0
33,popB,53,67,87,25.0,2.129,25.0
34,popB,53,67,42,50.0,2.129,25.0
35,popB,52,68,106,50.0,2.158,25.0
36,popB,52,68,28,50.0,2.158,25.0
37,popB,52,68,44,50.0,2.158,25.0
38,popA,52,68,0,0,2.158,25.0
39,popB,53,67,106,25.0,2.129,25.0
40,popA,53,67,0,0,2.129,25.0
41,popA,53,67,0,0,2.129,25.0
42,popB,53,67,45,50.0,2.129,25.0
43,popB,53,67,58,50.0,2.129,25.0
44,popA,53,67,0,0,2.129,25.0
45,popB,54,66,30,25.0,2.135,25.0
46,popB,54,66,89,25.0,2.135,25.0
47,popB,53,67,23,50.0,1.838,25.0
48,popB,54,66,96,25.0,2.099,25.0
49,popB,53,67,14,50.0,2.117,25.0
50,popB,52,68,0,50.0,2.117,25.0
51,popB,52,68,13,50.0,2.117,25.0
52,popB,51,69,64,50.0,1.988,25.0
53,popB,51,69,56,25.0,1.988,25.0
54,popB,51,69,19,50.0,1.988,25.0
55,popB,51,69,13,50.0,1.988,25.0
56,popA,51,69,0,0,1.988,25.0
57,popB,52,68,119,25.0,2.156,25.0
58,popB,52,68,48,25.0,2.156,25.0
59,popB,52,68,24,50.0,2.156,25.0
60,popB,51,69,9,50.0,2.003,25.0
61,popB,51,69,18,50.0,2.003,25.0
62,popA,51,69,0,0,2.003,25.0
63,popB,52,68,110,25.0,2.198,25.0
64,popB,52,68,41,25.0,2.198,25.0
65,popB,52,68,1,25.0,2.198,25.0
66,popA,52,68,0,0,2.198,25.0
67,popB,53,67,38,25.0,2.121,25.0
