Generation,Pct_Slow,Pct_Fast,Rate,Mutation_loc,Mutation,Transcript 
0_popB,56,64,84,10.0,1.182
1_popB,56,64,61,1.0,1.182
2_popB,57,63,22,1.0,1.193
3_popB,57,63,55,1.0,1.193
4_popB,57,63,19,10.0,1.193
5_popB,57,63,94,10.0,1.193
6_popB,58,62,103,1.0,1.239
7_popB,58,62,17,10.0,1.239
8_popB,58,62,113,10.0,1.239
9_popB,57,63,51,10.0,1.332
10_popB,57,63,41,10.0,1.332
11_popB,57,63,18,1.0,1.332
12_popB,57,63,60,1.0,1.332
13_popB,57,63,89,1.0,1.332
14_popB,57,63,43,1.0,1.332
15_popB,57,63,107,10.0,1.332
16_popB,57,63,90,10.0,1.332
17_popB,56,64,20,10.0,1.254
18_popB,56,64,36,1.0,1.254
19_popB,57,63,98,1.0,1.188
20_popB,56,64,86,10.0,1.180
21_popB,57,63,58,1.0,1.108
22_popB,58,62,9,1.0,1.215
23_popB,59,61,99,1.0,1.160
24_popA,59,61,0,0,1.160
25_popB,58,62,7,10.0,1.125
26_popB,58,62,105,10.0,1.125
27_popB,58,62,49,10.0,1.125
28_popB,59,61,96,1.0,1.202
29_popA,59,61,0,0,1.202
30_popB,59,61,86,10.0,1.202
31_popB,59,61,111,10.0,1.202
32_popA,59,61,0,0,1.202
33_popB,58,62,10,10.0,1.207
34_popB,57,63,44,10.0,1.149
35_popB,57,63,12,10.0,1.149
36_popB,57,63,6,1.0,1.149
37_popA,57,63,0,0,1.149
38_popB,57,63,83,10.0,1.149
39_popB,57,63,18,1.0,1.149
40_popB,56,64,21,10.0,1.252
41_popB,57,63,29,1.0,1.296
42_popB,57,63,50,10.0,1.296
43_popB,57,63,14,1.0,1.296
44_popB,56,64,99,10.0,1.147
45_popB,57,63,37,1.0,1.346
46_popB,57,63,2,1.0,1.346
47_popB,58,62,4,1.0,1.346
48_popB,59,61,85,1.0,1.247
49_popB,59,61,64,1.0,1.247
50_popB,59,61,98,1.0,1.247
